Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
-,Ядрина Евгения,,,1987,51.75,,,,,37.5,37.5,42.5,45,45,,,,-,
,,,,,,,,,,,,,,,,,,,
-,Овсянникова Евгения,,,1997,77.75,,,,,55,55,57.5,-60,57.5,,,,-,
,Открытый чемпионат Новосибирской области по троеборью и жиму лежа среди мужчин с ПОДА,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-,Шейко Станислав,,,1989,58.55,,,,,55,55,65,-67.5,65,,,,-,
,,,,,,,,,,,,,,,,,,,
-,Бобков Иван,,,1991,62.3,,,,,75,75,85,-90,85,,,,-,
-,Шикер Евгений,,,1991,62,,,,,70,70,-75,-75,70,,,,-,
,,,,,,,,,,,,,,,,,,,
-,Солодкин Андрей,,,1989,72.3,,,,,90,90,95,100,100,,,,-,
-,Камыш Александр,,,1995,70.85,,,,,80,80,92.5,-100,92.5,,,,-,
,,,,,,,,,,,,,,,,,,,
-,Понкратов Евгений,,,1988,80.35,,,,,125,125,,135,135,,,,-,
-,Наливанский Михаил,,,1990,78.75,,,,,95,95,102.5,-110,102.5,,,,-,
-,Коновалов Григорий,,,1987,74.25,,,,,72.5,72.5,80,-85,80,,,,-,
,,,,,,,,,,,,,,,,,,,
-,Иванушкин Дмитрий,,,1989,88.8,,,,,65,65,72.5,80,80,,,,-,
